date,price,ret_1d,ret_5d,log_ret_1d,mom_10,mom_20,mom_60,ma_20,ma_50,ma_100,ma_ratio_20_100,vol_10,vol_20,vol_60,vol_of_vol_20,zscore_20,zscore_60,drawdown,regime,entries,exits,size_pct
2016-01-04,100.48238201023452,,,,,,,,,,,,,,,,,0.0,low_vol_meanrev,False,False,1.0
2016-01-05,99.6000414144248,-0.008781047763376626,,-0.008819828353001786,,,,,,,,,,,,,,-0.008781047763376626,low_vol_meanrev,False,False,1.0
2016-01-06,99.64243931606644,0.00042568156638855825,,0.00042559098969421785,,,,,,,,,,,,,,-0.00835910412715457,low_vol_meanrev,False,False,1.0
2016-01-07,100.27214081580428,0.006319611443276862,,0.006299726431938245,,,,,,,,,,,,,,-0.0020923189739752157,low_vol_meanrev,False,False,1.0
2016-01-08,100.81996529710682,0.005463376735008296,,0.005448506628410193,,,,,,,,,,,,,,0.0,low_vol_meanrev,False,False,1.0
2016-01-11,100.32673329624004,-0.004892205620318113,-0.0015490149703918377,-0.004904211631489631,,,,,,,,,,,,,,-0.004892205620318113,low_vol_meanrev,False,False,1.0
2016-01-12,100.2076477106092,-0.0011869776052531034,0.006100462284510666,-0.001187682621118037,,,,,,,,,,,,,,-0.0060733762870596175,low_vol_meanrev,False,False,1.0
2016-01-13,100.13208145976158,-0.0007540966440590102,0.0049139919401408605,-0.0007543811179561657,,,,,,,,,,,,,,-0.006822893018442411,low_vol_meanrev,False,False,1.0
2016-01-14,100.54788443038196,0.004152544964197702,0.0027499524028733457,0.0041439469435841265,,,,,,,,,,,,,,-0.002698680424289668,low_vol_meanrev,False,False,1.0
2016-01-15,101.00010254654192,0.004497539841060272,0.0017867219940441714,0.004487456132033369,,,,,,,,,,,,,,0.0,low_vol_meanrev,False,False,1.0
2016-01-18,101.3931714477051,0.0038917673472860237,0.010629650905867205,0.003884214011617576,0.009064170447092179,,,,,,,0.0779945901970823,,,,,,0.0,low_vol_meanrev,False,False,1.0
2016-01-19,100.58069155828646,-0.008013161811766478,0.0037227083580944065,-0.008045439740694113,0.00984588088453986,,,,,,,0.07537326396788309,,,,,,-0.008013161811766478,low_vol_meanrev,False,False,1.0
2016-01-20,101.11337940569862,0.005296124327236917,0.009800035429518017,0.005282149181814769,0.014762184664772748,,,,,,,0.07826159517825994,,,,,,-0.002759476185738796,low_vol_meanrev,False,False,1.0
2016-01-21,101.34378587385422,0.0022786941699488583,0.007915645843581398,0.0022761018836603263,0.01068736589576269,,,,,,,0.0737606234979052,,,,,,-0.00048707001808656614,low_vol_meanrev,False,False,1.0
2016-01-22,102.02122062296948,0.006684521831052281,0.010110069699751145,0.00666227947963516,0.01191485557768912,,,,,,,0.07601588726922293,,,,,,0.0,low_vol_meanrev,False,False,1.0
2016-01-25,102.12957028129055,0.0010620306016675407,0.007262805010150641,0.0010614670461416178,0.017969656997873118,,,,,,,0.06813200090660142,,,,,,0.0,low_vol_meanrev,False,False,1.0
2016-01-26,100.9383349834238,-0.011663960737187007,0.0035557861016504155,-0.01173251835085725,0.007291731614385011,,,,,,,0.09568309841576988,,,,,,-0.011663960737187007,low_vol_meanrev,False,False,1.0
2016-01-27,100.4648807637402,-0.00469052931932501,-0.006413578952360499,-0.004701564372320929,0.0033236031761942897,,,,,,,0.09937709233073845,,,,,,-0.016299779906694845,low_vol_meanrev,False,False,1.0
2016-01-28,100.03934725936344,-0.004235644347973411,-0.012871421797035043,-0.004244640100352903,-0.005057661569902283,,,,,,,0.09931017889320715,,,,,,-0.020466384184033237,low_vol_meanrev,False,False,1.0
2016-01-29,99.86077621104148,-0.0017850081314404465,-0.021176421912379895,-0.001786603156826568,-0.01128044731415423,,,100.64582883522725,,,,0.09540804989950512,,,,-1.1129216066716738,,-0.022214859653283958,low_vol_meanrev,True,False,1.0
2016-02-01,100.33750529704666,0.004773937316466359,-0.017546974684296557,0.00476257821512841,-0.010411609929796062,-0.0014418120897362607,,100.63858499956785,,,,0.09679759015373647,0.08700658878810652,,,-0.42531137750318115,,-0.017546974684296557,low_vol_meanrev,False,False,1.0
2016-02-02,100.13044325084938,-0.002063655515295859,-0.00800381473210443,-0.002065787786359094,-0.004476488483638685,0.00532531742851039,,100.66510509138908,,,,0.08907827240090295,0.08114390166946693,,,-0.7907166763618987,,-0.01957441928850845,low_vol_meanrev,False,False,1.0
2016-02-03,98.69193304286226,-0.014366362130079913,-0.017647437665778143,-0.014470557452968848,-0.02394783338336226,-0.009539171057315943,,100.61757977772888,,,,0.1066197721699547,0.09635006339387156,,,-2.476308820205822,,-0.03365956822260363,low_vol_meanrev,True,False,1.0
2016-02-04,99.1029282462223,0.004164425507620306,-0.009360507028433163,0.004155778286541859,-0.02211144579127111,-0.011660393007164038,,100.55911914924977,,,,0.10932302713989979,0.09462655571690305,,,-1.7214379468464438,,-0.029635315479465074,low_vol_meanrev,True,False,1.0
2016-02-05,98.86041907953484,-0.0024470434020370524,-0.010017518083301646,-0.0024500423060405587,-0.030981804806234692,-0.019436092958347917,,100.46114183837118,,,,0.09748554988397107,0.0920693088596972,,,-1.732400427967353,,-0.03200983997829088,low_vol_meanrev,True,False,1.0
2016-02-08,98.7213465643928,-0.0014067562775568199,-0.016107224590338975,-0.0014077466881221993,-0.03337156621251458,-0.01600158481296232,,100.38087250177881,,,,0.09527923950470689,0.09092149969340303,,,-1.6551155385067589,,-0.03337156621251458,low_vol_meanrev,True,False,1.0
2016-02-09,98.47193866459116,-0.0025263826769112985,-0.016563439973028893,-0.0025295793668027497,-0.02443468400026283,-0.017321123543690087,,100.29408704947791,,,,0.08330194392383658,0.09112303421839116,,,-1.6720335164957376,,-0.03581363954264516,low_vol_meanrev,True,False,1.0
2016-02-10,98.95779814860904,0.004933989221769908,0.002693888928402277,0.004921856987459884,-0.0150010889743184,-0.011727343465085416,,100.23537288392029,,,,0.0898354811084055,0.0934167082137805,,,-1.1307332991126804,,-0.03105635443237109,low_vol_meanrev,True,False,1.0
2016-02-11,99.3267626467444,0.0037285035140057765,0.002258605315536011,0.0037215698741681087,-0.007123043403827745,-0.012144679030845706,,100.17431679473842,,,,0.09190681893142244,0.0931439273403755,,,-0.7402348398271775,,-0.02744364464499871,low_vol_meanrev,False,False,1.0
2016-02-12,99.30080167988866,-0.00026136930434417227,0.004454589657358454,-0.0002614034672536859,-0.005607552358389389,-0.01682474397360345,,100.08935175140574,,,,0.09172098651955242,0.09120507025533427,,,-0.6895784139573921,,-0.0276978410230333,low_vol_meanrev,False,False,1.0
2016-02-15,97.0748491711152,-0.022416259195461086,-0.01667823070265395,-0.022671322449699785,-0.03251681528529582,-0.04258987281818216,,99.87343563757625,,,,0.13762714541458707,0.11722742599119271,,,-2.180428480217975,,-0.04949321823496733,low_vol_meanrev,True,False,1.0
2016-02-16,96.49391237411228,-0.005984421319871425,-0.020087207759931558,-0.006002399731951615,-0.03631793447300302,-0.040631846141223726,,99.66909667836754,,,,0.1380746375640301,0.11609684831882296,,,-2.151386827225741,,-0.055181451284444405,low_vol_meanrev,True,False,1.0
2016-02-17,96.365454324797,-0.0013312554766899964,-0.026196458210590023,-0.001332142384483395,-0.023573139630924667,-0.04695644739408278,,99.43170042432247,,,,0.12461870183050625,0.11287651129957821,,,-1.9076570870167826,,-0.05643924615190021,low_vol_meanrev,True,False,1.0
2016-02-18,97.18640304289876,0.008519118431536521,-0.021548669732223358,0.008483035526975165,-0.019338734356687426,-0.04102257277155874,,99.22383128277468,,,,0.13265541451922935,0.11833247067040809,,,-1.2609056272744341,,-0.04840094034251852,low_vol_meanrev,True,False,1.0
