date,TRADE_ASSET,BENCHMARK
2016-01-04,100.48238201023452,101.06831639893683
2016-01-05,99.6000414144248,100.16315371593127
2016-01-06,99.64243931606644,100.04220015046674
2016-01-07,100.27214081580429,100.28133292564729
2016-01-08,100.81996529710682,100.69048969643836
2016-01-11,100.32673329624005,100.01605784407906
2016-01-12,100.2076477106092,100.2340989968941
2016-01-13,100.13208145976158,101.08586588144715
2016-01-14,100.54788443038196,100.54021762737875
2016-01-15,101.00010254654192,100.12848195905151
2016-01-18,101.3931714477051,100.07256227546048
2016-01-19,100.58069155828646,99.38926558363514
2016-01-20,101.11337940569862,100.89040761928962
2016-01-21,101.34378587385422,101.64340692095848
2016-01-22,102.02122062296948,102.61333111384828
2016-01-25,102.12957028129055,102.53102728718932
2016-01-26,100.9383349834238,101.7176426141614
2016-01-27,100.46488076374021,100.58959155619776
2016-01-28,100.03934725936344,100.84718510174628
2016-01-29,99.86077621104147,101.06547621153221
2016-02-01,100.33750529704666,102.13087305974342
2016-02-02,100.13044325084938,101.90618628149393
2016-02-03,98.69193304286226,101.03466683977062
2016-02-04,99.1029282462223,101.38936997215066
2016-02-05,98.86041907953485,101.81576414185234
2016-02-08,98.7213465643928,100.8592040516294
2016-02-09,98.47193866459115,101.18465918689905
2016-02-10,98.95779814860903,101.46703730970677
2016-02-11,99.32676264674441,101.05090610702004
2016-02-12,99.30080167988866,99.79268210438393
2016-02-15,97.07484917111519,98.50058792901015
2016-02-16,96.49391237411227,99.05168356649348
2016-02-17,96.365454324797,99.99425121438634
2016-02-18,97.18640304289875,100.69598811085388
2016-02-19,96.46209573282087,101.48876902215818
2016-02-22,95.43160915219865,100.88661647336046
2016-02-23,94.71584850859928,101.06767621509127
2016-02-24,94.42353496929682,100.64270644871118
2016-02-25,95.71658675335212,101.11011126138534
2016-02-26,95.89396899752003,100.82237279682096
2016-02-29,96.48740116868927,99.93921492792099
2016-03-01,95.45462291525536,100.14263960390825
2016-03-02,95.02188000690496,99.52744173443236
2016-03-03,94.78737495973574,98.93366292208802
2016-03-04,95.01642203320317,98.38450258989216
2016-03-07,96.89315739600927,99.35233804532359
2016-03-08,95.529229366095,99.65425128000038
2016-03-09,95.21335490488781,100.74487312944007
2016-03-10,95.99467418365137,100.21577012416394
2016-03-11,94.5238282031432,99.17814834113243
2016-03-14,94.55747521896798,98.60188692133333
2016-03-15,95.4507193048078,99.71861654968411
2016-03-16,94.60141846356107,99.42203090373219
2016-03-17,94.20802406059298,98.83478886881555
2016-03-18,94.84668970974501,99.26610986106316
2016-03-21,94.86661404064097,99.01308313936774
2016-03-22,94.61712229113931,99.84865650170207
2016-03-23,94.79246402565974,100.29807543434903
2016-03-24,95.7149130179348,101.25804105420613
2016-03-25,96.46521585593858,100.09457690307487
2016-03-28,96.73941744026455,100.23096961848262
2016-03-29,97.52999061322258,101.95433808432087
2016-03-30,97.40549737943556,102.71437921369537
2016-03-31,98.90954131825094,102.46889640876987
2016-04-01,98.6748994994913,102.16299469615764
2016-04-04,98.89949610648976,101.57481710929102
2016-04-05,100.18005837092394,103.36132248985557
2016-04-06,99.20907364404448,102.98248797427294
2016-04-07,99.08073334458685,102.45539554435832
2016-04-08,99.16734511037404,102.54614357329832
2016-04-11,99.85610423079835,101.35412558966728
2016-04-12,99.76597566789988,100.66429023003005
2016-04-13,99.9973570074615,100.83484018996869
2016-04-14,100.12044134157428,101.43491174636611
2016-04-15,102.13032071295176,101.3936433424397
2016-04-18,100.79763519037543,100.45435172667965
2016-04-19,102.05614770774238,101.77283109648887
2016-04-20,100.37416341226837,99.98435134893582
2016-04-21,99.87744368072538,99.869701529902
2016-04-22,97.51833940578048,98.63180182083204
2016-04-25,96.1281590312793,98.89275331706231
2016-04-26,99.52025724348688,100.69528828248208
2016-04-27,99.73568520062209,100.73163543754326
2016-04-28,99.65129780203644,101.22163418431718
2016-04-29,99.41591991682014,100.30484955904969
2016-05-02,99.28011066995458,100.11661361460807
2016-05-03,98.98364609874734,99.69845369980932
2016-05-04,99.14615550581651,99.72532326327138
2016-05-05,99.20572541932148,100.28586881416213
2016-05-06,99.22469693450162,100.64992132536581
2016-05-09,99.6668708773715,100.46461125211663
2016-05-10,100.02915074105003,100.76795353520566
2016-05-11,100.25844629890308,101.81628364220015
2016-05-12,100.92223073341664,101.69952165718654
2016-05-13,100.65478201274595,101.660212196017
2016-05-16,100.48603938431964,101.46898820644611
2016-05-17,100.62121159665594,101.52599562548428
2016-05-18,100.51261696320988,100.49271187998723
2016-05-19,99.97141105304391,101.06583443000885
2016-05-20,102.49407913304378,102.01914102532209
2016-05-23,102.29702256007242,102.55973984205934
2016-05-24,102.18370983638519,102.13540039822931
2016-05-25,103.1787136077358,102.31950381951019
2016-05-26,104.41430527578592,103.7586410598869
2016-05-27,104.24927807553104,104.30794247678283
